16:37:37.666 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=11B [0]=0x00
16:37:37.666 INFO [Device.cpp:74                 ] << MANUFACTURER_SPECIFIC_REPORT: node=12 mfgId=0x007A prodType=0x8001 prodId=0x8001
16:37:37.748 INFO [Z_Wave.h:264                  ] ----------------------------------- Interview pending. Node: 12 Listening
16:37:37.749 INFO [Z_Wave.h:270                  ] ----------------------------------- Interview started. Node: 20
16:37:37.749 INFO [InterviewManager.cpp:20       ] >> ZW_API_GET_NODE_INFO_PROTOCOL_DATA: node=20
16:37:37.797 INFO [Z_Wave.h:109                  ] << [RES] 0x41 ZW_API_GET_NODE_INFO_PROTOCOL_DATA | payload=6B [0]=0x0A
16:37:37.797 INFO [InterviewManager.cpp:69       ] << ZW_API_GET_NODE_INFO_PROTOCOL_DATA: node=20 listening=false routing=false speed=1 proto=2 basic=0x01 generic=0x20 specific=0x01 opt=0x06 speedExt=0x00 (payloadLen=6)
16:37:37.810 INFO [Z_Wave.h:264                  ] ----------------------------------- Interview pending. Node: 20 Not listening
16:37:37.810 INFO [Z_Wave.h:264                  ] ----------------------------------- Interview pending. Node: 12 Listening
16:37:41.148 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:37:41.148 INFO [Node.h:255                    ] Unknown command class handler: 0x20
16:37:43.111 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:37:43.112 INFO [Node.h:255                    ] Unknown command class handler: 0x20
16:37:43.136 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:37:43.137 INFO [Node.h:255                    ] Unknown command class handler: 0x20
16:37:43.231 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:37:43.231 INFO [Node.h:255                    ] Unknown command class handler: 0x20
16:37:45.211 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x08
16:37:45.212 INFO [Node.h:255                    ] Unknown command class handler: 0x20
16:37:45.236 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=6B [0]=0x00
16:37:45.236 INFO [Node.h:255                    ] Unknown command class handler: 0x20
16:37:45.324 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=5B [0]=0x00
16:37:45.324 INFO [Node.h:255                    ] Unknown command class handler: 0x20
16:37:53.326 INFO [Z_Wave.h:109                  ] << [REQ] 0x49 ZW_API_APPLICATION_UPDATE | event=UPDATE_STATE_NODE_INFO_RECEIVED
16:37:53.327 INFO [InterviewManager.cpp:165      ] << Decoded NodeInfo: node=20 basic=0x01 generic=0x20 specific=0x01 ccCount=11
16:37:53.381 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x20] to node 20
16:37:53.402 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:53.444 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:53.469 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:53.469 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x20 version=1
16:37:53.475 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x26] to node 20
16:37:53.541 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:53.584 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:53.608 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:53.608 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x26 version=1
16:37:53.615 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x30] to node 20
16:37:53.681 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:53.724 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:53.748 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:53.749 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x30 version=1
16:37:53.754 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x50] to node 20
16:37:53.821 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:53.864 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:53.888 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:53.889 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x50 version=2
16:37:53.894 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x60] to node 20
16:37:53.961 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:54.004 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:54.028 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:54.029 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=20 cc=0x60 version=1
16:37:54.035 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x70] to node 20
16:37:54.102 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
